,Rank,Contestant,Contestant.1,Season,ICW,ICA
0,1-t,,Ozzy  Lusth,S13: Cook Islands,5,6
1,1-t,,Terry Deitz,S12: Panama,5,7
2,1-t,,Colby Donaldson,S2: The Australian Outback,5,8
3,1-t,,Tom Westman,S10: Palau,5,8
4,1-t,,Mike Holloway,S30: Worlds Apart,5,9
5,1-t,,Brad Culpepper,S34: Game Changers,5,10
6,7-t,,Kyle Ostwald,Survivor 47,4,6
7,7-t,,Joe Anglim,S31: Cambodia,4,6
8,7-t,,Boston Rob Mariano,S8: All-Stars,4,7
9,7-t,,Kelly Wiglesworth,S1: Borneo,4,8
10,7-t,,Jenna Morasca,S6: The Amazon,4,8
11,7-t,,Fabio Birza,S21: Nicaragua,4,8
12,7-t,,Rafe Judkins,S11: Guatemala,4,9
13,7-t,,Kim Spradlin,S24: One World,4,9
14,7-t,,Chrissy Hofbeck,S35: Heroes v Healers v Hustlers,4,9
15,7-t,,Rachel LaMont,Survivor 47,4,9
16,7-t,,Boston Rob Mariano,S22: Redemption Island,4,10
17,7-t,,Ken McNickle,S33: Millennials vs Gen X,4,10
18,7-t,,Tony Vlachos,S40: Winners at War,4,10
19,7-t,,Rick Devens,S38: Edge of Extinction,4,11
20,21-t,,Brian Heidik,S5: Thailand,3,6
21,21-t,,Erik Reichenbach,S16: Micronesia,3,6
22,21-t,,Tasha Fox,S28: Cagayan,3,6
23,21-t,,Dee Valladares,Survivor 45,3,6
24,21-t,,Maria Shrime Gonzalez,Survivor 46,3,6
25,21-t,,Darrah Johnson,S7: Pearl Islands,3,7
26,21-t,,Bob  Crowley,S17: Gabon,3,7
27,21-t,,Ricard Foyé,Survivor 41,3,7
28,21-t,,Cassidy Clark,Survivor 43,3,7
29,21-t,,Lex van den Berghe,S3: Africa,3,8
30,21-t,,Ian Rosenberger,S10: Palau,3,8
31,21-t,,J.T. Thomas,S18: Tocantins,3,8
32,21-t,,Parvati Shallow,S20: Heroes vs. Villains,3,8
33,21-t,,John Cochran,S26: Caramoan,3,8
34,21-t,,Spencer Bledsoe,S28: Cagayan,3,8
35,21-t,,Noura Salman,S39: Island of the Idols,3,8
36,21-t,,Owen Knight,Survivor 43,3,8
37,21-t,,Chris Daugherty,S9: Vanuatu,3,9
38,21-t,,Brett Clouser,S19: Samoa,3,9
39,21-t,,Monica Culpepper,S27: Blood vs. Water,3,9
40,21-t,,Keith Nale,S29: San Juan del Sur,3,9
41,21-t,,Domenick Abbate,S36: Ghost Island,3,9
42,21-t,,Sophie Clarke,S23: South Pacific,3,10
43,21-t,,Spencer Bledsoe,S31: Cambodia,3,10
44,21-t,,Nick Wilson,S37: David vs. Goliath,3,10
